hin_Deva,sat_Olck
"माँ, चलो कल एक फिल्म देखने चलते हैं।","ᱜᱚ, ᱜᱟᱯᱟ ᱢᱚᱵᱷᱤ ᱧᱮᱞᱵᱚᱱ ᱪᱚᱞᱚᱜᱼᱟ ᱾"
मुझे कल स्कूल नहीं जाना है।,ᱤᱧ ᱫᱚ ᱥᱠᱩᱞ ᱵᱟᱝ ᱪᱟᱞᱟᱜᱽ ᱦᱩᱭᱩᱜᱽᱛᱤᱧᱟ ᱾
छुट्टी है।,ᱡᱤᱨᱟᱹᱣ ᱢᱟᱸᱦᱟ ᱠᱟᱱᱟ ᱾
"ओह, कल 14 अप्रैल है न?","ᱳᱦ, ᱜᱟᱯᱟ ᱫᱚ ᱑᱔ ᱮᱯᱨᱤᱞ ᱠᱟᱱᱟ ᱥᱮ ᱵᱟᱝ ?"
कल तुम्हारे पिताजी की भी छुट्टी होगी।,ᱟᱢ ᱵᱟᱵᱟᱣᱟᱜᱽ ᱦᱚᱸ ᱜᱟᱯᱟ ᱠᱟᱹᱢᱤᱨᱮ ᱪᱷᱩᱴᱤ ᱛᱟᱦᱮᱸᱛᱟᱭᱟ ᱾
हम फिल्म देखने का प्लान बना सकते हैं!,ᱟᱵᱩ ᱫᱚ ᱥᱤᱱᱟᱹᱢᱟ ᱧᱮᱞ ᱪᱟᱞᱟᱜᱽ ᱨᱮᱭᱟᱜ ᱵᱩᱱ ᱯᱞᱟᱱ ᱫᱟᱲᱤᱭᱟᱜᱽᱼᱟ !
यह तो अच्छी खबर है!,ᱚᱱᱟ ᱫᱚ ᱨᱟᱹᱥᱠᱟᱹ ᱠᱷᱚᱵᱚᱨ !
पर इस दिन छुट्टी क्यों है?,ᱢᱮᱱᱠᱷᱟᱱ ᱪᱷᱩᱴᱤ ᱫᱚ ᱪᱮᱫᱽ ᱞᱟᱹᱜᱤᱫᱽ ?
"क्या सभी स्कूल, कॉलेज और ऑफिस कल बंद रहेंगे?",ᱜᱟᱯᱟ ᱫᱚ ᱪᱮᱫᱽ ᱡᱚᱛᱚ ᱥᱠᱩᱞ ᱠᱚᱞᱮᱡᱽᱠᱩ ᱵᱚᱸᱫᱜᱤᱭᱟ ?
कल अंबेडकर जयंती है!,ᱜᱟᱯᱟ ᱫᱚ ᱟᱢᱵᱮᱫᱠᱟᱨ ᱡᱚᱭᱚᱱᱛᱤ ᱠᱟᱱᱟ !
इस दिन को हर वर्ष बी.आर. अंबेडकर के जन्म के उपलक्ष में मनाया जाता है।,ᱱᱤᱭᱟᱹ ᱢᱟᱸᱦᱟ ᱫᱚ ᱡᱟᱣᱥᱮᱨᱢᱟ ᱰᱚᱠᱴᱚᱨ ᱵᱤᱹ ᱟᱨ ᱟᱢᱵᱮᱫᱠᱟᱨᱟᱜᱽ ᱡᱟᱱᱟᱢ ᱢᱟᱸᱦᱟ ᱞᱮᱠᱟᱛᱮ ᱢᱟᱱᱟᱜᱽᱠᱟᱱᱟ ᱾
क्या तुमने उनके बारे में सुना है?,ᱟᱢ ᱫᱚ ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢᱮᱢ ᱟᱸᱡᱚᱢᱟᱠᱟᱫᱟ ?
मेरे खयाल से इन्हें मैंने अपनी हिस्ट्री और सिविक्स की किताब में देखा है।,ᱤᱧ ᱫᱤᱥᱟᱹᱭᱟ ᱤᱧ ᱫᱚ ᱱᱟᱜᱟᱢ ᱯᱚᱛᱚᱵ ᱟᱨ ᱱᱟᱜᱟᱨᱤᱭᱟᱹ ᱥᱟᱸᱬᱮᱥ ᱨᱮ ᱧ ᱧᱮᱞᱟᱠᱟᱫᱟ ᱾
क्या वे हमारे संविधान से संबंध रखते हैं?,ᱩᱱᱤ ᱫᱚ ᱪᱮᱫ ᱟᱵᱩᱣᱟᱜᱽ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱥᱟᱶ ᱡᱟᱸᱦᱟᱞᱮᱠᱟ ᱡᱚᱯᱚᱲᱟᱣ ᱢᱮᱱᱟᱭᱟ ᱾
बिलकुल सही! उन्हें भारतीय संविधान का जनक कहा जाता है।,ᱱᱤᱦᱟᱹᱛᱜᱤ! ᱩᱱᱤ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱥᱚᱝᱵᱤᱫᱷᱟᱱᱨᱮᱱ ᱚᱱᱚᱞᱤᱭᱟᱹ ᱠᱟᱱᱟᱭ ᱾
वे नागरिक अधिकारों के लिए लड़ने वाले कार्यकर्ता था जिन्होंने संविधान तैयार करने में महत्वपूर्ण भूमिका निभाई थी।,ᱩᱱᱤ ᱫᱚ ᱢᱤᱫᱦᱚᱲ ᱱᱟᱜᱟᱨᱤᱭᱟᱹ ᱟᱹᱭᱫᱟᱹᱨ ᱠᱟᱹᱢᱤᱭᱟᱹᱭ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱡᱟᱸᱦᱟᱭ ᱫᱚ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱵᱮᱱᱟᱣᱨᱮ ᱢᱩᱲᱩᱫᱽ ᱮᱱᱮᱢᱮ ᱫᱚᱦᱚᱞᱮᱫᱟ ᱾
उन्होंने उस जीवंत प्रजातांत्रिक स्वरूप को आकार देने में महत्वपूर्ण भूमिका निभाई जिस पर भारत को गर्व है।,ᱩᱱᱤ ᱫᱚ ᱡᱤᱭᱟᱹᱲ ᱜᱚᱱᱚᱛᱟᱱᱛᱨᱤᱠ ᱜᱚᱲᱦᱚᱱ ᱵᱮᱱᱟᱣᱨᱮ ᱢᱤᱫᱽ ᱢᱩᱲᱩᱫᱽ ᱮᱱᱮᱢᱮ ᱯᱟᱞᱚᱱᱞᱮᱫᱟ ᱡᱟᱸᱦᱟ ᱞᱟᱹᱜᱤᱫᱽ ᱵᱷᱟᱨᱚᱛ ᱫᱚ ᱜᱚᱨᱚᱵᱮ ᱵᱩᱡᱷᱟ ᱾
मुझे अब याद आया!,ᱱᱤᱛᱚᱜᱽᱤᱧ ᱫᱤᱥᱟᱹᱭᱮᱫᱟ !
हाल ही में हम उनके बारे में सिविक्स की कक्षा में चर्चा कर रहे थे।,ᱮᱱᱦᱤᱞᱚᱜ ᱟᱞᱮ ᱫᱚ ᱱᱟᱜᱟᱨᱤᱭᱟᱹ ᱥᱟᱸᱬᱮᱥ ᱠᱞᱟᱥᱨᱮ ᱩᱱᱤ ᱵᱟᱵᱚᱫᱽᱞᱮ ᱜᱟᱞᱚᱪᱮᱫᱽᱠᱟᱱ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾
मैम ने कहा था कि वे उनके बारे में हमें और बताएंगी जब हम भारतीय संविधान का पाठ पढ़ेंगे।,ᱢᱟᱪᱮᱫᱟᱹᱱᱤᱭ ᱞᱟᱹᱭᱟᱠᱟᱫᱟ ᱡᱮ ᱩᱱᱤ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱦᱟᱹᱴᱤᱧᱞᱮ ᱯᱟᱲᱦᱟᱣᱟ ᱛᱚᱠᱷᱚᱱᱮ ᱞᱟᱹᱭᱟᱞᱮᱭᱟ ᱾
"उन्होंने समाज से जाति के आधार पर भेदभाव खत्म करने के लिए लड़ाई की थी, है ना?","ᱥᱟᱶᱛᱟᱨᱮ ᱢᱮᱱᱟᱜ ᱡᱟᱹᱛᱤ ᱵᱷᱮᱯᱮᱜᱮᱫᱽ ᱚᱪᱚᱜ ᱞᱟᱹᱜᱤᱫᱽᱮ ᱞᱟᱹᱲᱦᱟᱹᱭᱞᱮᱱᱟ, ᱥᱮ ᱵᱟᱝ ?"
"हाँ, खुद दलित होने की वजह से उन्हें पता था कि छुआछूत की बुराई से जूझना कितना मुश्किल है।",ᱦᱮᱸ ᱾ ᱱᱤᱡᱽ ᱫᱟᱹᱞᱤᱛ ᱞᱮᱠᱟᱛᱮ ᱵᱩᱡᱷᱦᱟᱹᱣᱞᱮᱫᱟ ᱡᱮ ᱵᱷᱮᱯᱮᱜᱟᱨ ᱵᱟᱹᱲᱤᱡᱽ ᱚᱨᱡᱚ ᱡᱟᱸᱜᱮ ᱫᱟᱨᱟᱢ ᱫᱚ ᱛᱤᱱᱟᱹᱜ ᱟᱸᱴᱟ ᱢᱮᱱᱛᱮ ᱾
इसलिए इन्होंने निचली जाति के लोगों के अधिकारों के लिए लड़ाई लड़ी।,"ᱱᱚᱧᱠᱟᱞᱮᱠᱟᱛᱮ, ᱩᱱᱤ ᱫᱚ ᱱᱤᱪᱡᱟᱹᱛᱤ ᱠᱩᱣᱟᱜ ᱟᱹᱭᱫᱟᱹᱨ ᱞᱟᱹᱜᱤᱫᱽᱛᱮᱭ ᱞᱟᱹᱲᱦᱟᱹᱭᱞᱮᱱᱟ ᱾"
उन्होंने बड़े पैमाने में भेदभाव के खिलाफ लड़ाई की और जीत हासिल की।,ᱩᱱᱤ ᱫᱚ ᱵᱷᱮᱯᱮᱜᱮᱫᱽ ᱵᱤᱨᱩᱫ ᱟᱭᱢᱟᱭ ᱯᱨᱚᱪᱟᱨᱟᱠᱟᱫᱟ ᱟᱨᱮ ᱡᱤᱛᱠᱟᱹᱨᱟᱠᱟᱱᱟ ᱾
"वाह, कितना मजबूत व्यक्तित्व था उनका!","ᱳᱦ, ᱛᱤᱱᱟᱹᱜ ᱠᱮᱴᱮᱡᱽ ᱢᱟᱹᱱᱢᱤ !"
इसलिए इस दिन को पूरे उपमहाद्वीप में समानता दिवस के रूप में भी मनाया जाता है।,ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫᱽᱛᱮᱜᱤ ᱚᱱᱟ ᱢᱟᱦᱟ ᱫᱚ ᱜᱚᱴᱟ ᱩᱯᱟᱹᱯᱚᱱᱚᱛᱨᱮ ᱥᱟᱢᱢᱚ ᱫᱤᱵᱚᱥ ᱞᱮᱠᱟᱛᱮ ᱦᱚᱸ ᱢᱟᱱᱟᱜᱽᱠᱟᱱᱟ ᱾
